id,create_time,user_name,hashtags,song,video_length,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6892519502127320322,1604789755,robertdowneyjnrofficial,"['summer', 'avengers', 'ohnanana', 'robertdowneyjnr', 'rdj', 'foryou', 'viral', 'foru', 'water', 'stark']",Capone - Oh No,9,2698,4,230,17300,651100,144000,3
6882945622962375942,1602560714,jackblack,[],original sound,8,3900000,59100,72300,17700000,3600000,16200000,16
6861708313474731270,1597615969,vindieselbrasileiro,"['viral', 'diadossolteiros', 'resort', 'challenge', 'fy', 'geracsotiktok', 'velozesefuriosos', 'brasil', 'brasilbemsertanejo', 'domingo', 'parceria']",som original,19,16800,75,302,338300,1700000,4200000,22
6892508421405281542,1604787205,chars...alien,"['fypシforyoupage', 'fyptiktok', 'fyp', 'fypps', 'fypforyourpage', 'fypppppppppppppp', 'fyppage', 'fyppls', 'fypforyou', 'fypforyoupageシ', 'fypシ']",original sound,8,708,23,48,3542,26200,73800,600
6892537706161769729,1604793994,tiktokforyouvids,[],original sound,13,966,1,8,4438,3700000,116800000,2377
