Rank,Followers,Views,Likes,Engagement,Acting,Art,Comedy,Content House,DIY,Dancing,Dancing ,Education,Family,Family ,Fitness,Food,Highlights,Illusion,Lifestyle,Lipsyncing,Lipsyncing ,Makeup,Media,Motivational Speaking,Parkour,Pets,Photography,Pranking,Pranking ,Promotion,Reacting,Relationship,Reviews,Singing,noGenre,Country_Aruba,Country_Australia,Country_Brazil,Country_Chile,Country_Colombia,Country_Ecuador,Country_France,Country_Germany,Country_Iceland,Country_India,Country_Indonesia,Country_Ireland,Country_Japan,Country_Mexico,Country_Philippines,Country_Poland,Country_Russia,Country_South Africa,Country_South Korea,Country_Spain,Country_Turkey,Country_U.A.E.,Country_U.K.,Country_U.S.A,Country_Vietnam
1,0.9999999999999991,0.9483392148630294,0.9705400845437118,0.42030085848628246,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,0.46678466112599537,0.5010508748845082,0.4087185687808468,0.08999362629464497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0.16144828071636041,0.36859045197731355,0.4232343223800574,0.43332468347674685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
224,0.030428035320175795,0.27077291035654616,0.3139656257184422,0.40068110810610874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0.0,0.44333674825232183,0.49580760983798133,0.43332468347674685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
