id,create_time,user_name,hashtags,song,video_length,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6892519502127320322,1604789755,robertdowneyjnrofficial,"['summer', 'avengers', 'ohnanana', 'robertdowneyjnr', 'rdj', 'foryou', 'viral', 'foru', 'water', 'stark']",Capone - Oh No,9,2698,4,230,17300,651100,144000,3
6882945622962375942,1602560714,jackblack,[],original sound,8,3900000,59100,72300,17700000,3600000,16200000,16
6861708313474731270,1597615969,vindieselbrasileiro,"['viral', 'diadossolteiros', 'resort', 'challenge', 'fy', 'geracsotiktok', 'velozesefuriosos', 'brasil', 'brasilbemsertanejo', 'domingo', 'parceria']",som original,19,16800,75,302,338300,1700000,4200000,22
6892508421405281542,1604787205,chars...alien,"['fypシforyoupage', 'fyptiktok', 'fyp', 'fypps', 'fypforyourpage', 'fypppppppppppppp', 'fyppage', 'fyppls', 'fypforyou', 'fypforyoupageシ', 'fypシ']",original sound,8,708,23,48,3542,26200,73800,600
6889269907389762822,1604033216,kyliejenner,[],Power Rangers Dubstep Remix - Power Rangers Dubstep Remix,14,9200000,59100,64700,46900000,20100000,156000000,49
